"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","224.2","1,034.4","7.6","76.3","652.9","4.4","1.0","276.9"
"","low","0.0","0.0","0.0","51.0","642.6","4.0","1.0","115.3"
"Rondale Moore","ARI","WR51","14.9","62.3","0.1","68.2","700.4","2.2","0.6","122.9"
"","high","21.0","114.0","0.2","73.0","776.9","3.4","0.0","197.1"
"","low","4.6","26.9","0.0","65.5","619.0","0.2","1.0","101.1"
"Adam Thielen","CAR","WR52","0.7","5.0","0.1","57.2","667.5","4.3","0.4","121.1"
"","high","1.8","14.6","0.2","78.0","876.0","5.0","0.0","172.4"
"","low","0.0","0.0","0.0","46.1","544.1","3.8","1.0","105.4"
"Zay Jones","JAC","WR53","1.8","7.5","0.0","62.0","678.4","3.7","0.5","120.8"
"","high","3.0","11.0","0.1","67.9","757.1","5.0","0.0","206.1"
"","low","0.0","0.0","0.0","58.0","600.0","1.6","1.0","105.0"
"Zay Flowers","BAL","WR54","1.4","11.9","0.1","50.2","698.4","4.3","0.8","120.8"
"","high","3.4","25.2","0.2","54.0","766.0","5.0","0.0","163.0"
"","low","0.0","0.0","0.0","44.6","639.8","3.1","2.0","113.7"
"Jeff Wilson Jr.","MIA","RB36","136.9","647.9","4.3","21.8","163.5","1.0","1.7","120.1"
"","high","156.0","863.0","6.8","32.0","268.7","1.5","1.4","202.2"
"","low","104.9","469.5","3.1","6.1","45.1","0.3","2.0","84.3"
"Evan Engram","JAC","TE8","0.0","5.8","0.0","63.6","655.7","3.6","0.5","118.6"
"","high","0.0","11.7","0.1","65.0","672.3","4.6","0.0","180.0"
"","low","0.0","0.0","0.0","63.0","612.1","3.0","1.0","109.8"
"Rashaad Penny","PHI","RB37","159.7","763.5","5.1","9.0","59.4","0.2","1.0","116.8"
"","high","167.3","843.1","7.0","13.0","82.0","0.6","0.5","132.0"
"","low","148.4","638.4","3.4","7.3","41.0","0.0","2.0","108.1"
"Pat Freiermuth","PIT","TE9","0.0","0.4","0.0","59.6","632.2","4.0","0.5","116.3"
"","high","0.0","0.9","0.0","64.0","678.0","4.3","0.0","161.4"
"","low","0.0","0.0","0.0","54.4","545.8","3.8","1.0","109.8"
"Darnell Mooney","CHI","WR55","1.9","9.0","0.1","51.2","663.1","3.8","0.3","115.6"
"","high","3.7","17.9","0.3","57.9","774.3","4.8","0.0","190.5"
"","low","0.0","0.0","0.0","47.8","569.1","2.7","1.0","102.6"
"Marquez Valdes-Scantling","KC","WR56","0.9","2.4","0.0","44.1","690.3","3.9","0.1","114.8"
"","high","1.7","4.9","0.0","52.1","819.4","5.3","0.0","188.7"
"","low","0.0","0.0","0.0","36.0","612.7","2.7","0.3","93.1"
"Romeo Doubs","GB","WR57","0.8","7.7","0.0","53.6","627.7","4.3","0.8","114.3"
"","high","1.5","16.4","0.0","58.0","713.7","5.0","0.0","174.4"
"","low","0.0","0.0","0.0","48.9","565.2","3.5","1.3","103.4"
"Quentin Johnston","LAC","WR58","3.4","17.5","0.1","47.7","682.4","3.6","0.8","114.1"
"","high","4.3","23.8","0.2","63.2","825.1","4.1","0.0","166.0"
"","low","2.0","8.0","0.0","30.8","380.7","2.3","2.0","107.8"
"Hunter Renfrow","LV","WR59","0.6","4.7","0.0","62.0","609.2","3.8","0.6","114.1"
"","high","1.0","17.1","0.0","68.0","685.0","4.9","0.0","198.6"
"","low","0.0","0.0","0.0","58.0","553.4","3.1","1.0","102.8"
"DeVante Parker","NE","WR60","0.0","0.2","0.0","45.6","675.5","3.7","0.0","112.6"
"","high","0.0","0.9","0.0","52.8","899.0","5.9","0.0","201.2"
"","low","0.0","0.0","0.0","40.0","593.0","1.7","0.0","96.8"
"Curtis Samuel","WAS","WR61","26.2","140.4","0.9","49.2","532.5","2.7","0.5","112.5"
"","high","32.0","161.0","1.0","58.0","595.0","3.8","0.2","170.5"
"","low","17.6","102.4","0.5","46.0","464.5","1.0","1.0","91.6"
"Raheem Mostert","MIA","RB38","137.4","608.9","3.3","24.4","170.1","0.9","1.3","112.4"
